# nonlinearity_1=tanh	dropout_prob_1=0.008172680923374698	similarity_type=cos	usr_id=None	log_dir=logs/lay1-sha-tokgoo-bat24-optada--8	nonlinearity_2=False	verbose=True	bi=True	model_type=lstm_basic	epochs=50	useAdam=True	phase=training	num_epochs=50	num_folds=5	nonlinearity=tanh,False	token_emb=200	weight_decay=1.8044454846752823e-07	dropout_prob_2=0.0013466197621012088	entity_library=True	batch_size=24	corpus_entity_embs=None	no_shuffle=False	stop_criterion=5	layers_lstm=1	ent=True	dropout_prob=0.008172680923374698,0.0013466197621012088	learning_rate=0.000533396665212102	folds=5	useAdadelta=False	level=scene	sim=cos	emb_size=200,134	share_weights=False	bidirectional=True	hidden_lstm_1=459	model_file=None	speaker_emb=134	conf_file=config_google_scene.ini	lr=0.000533396665212102	chunk_size=757	test_every=1	hidden_size=459	stop_criterion_num_epochs=5	id=58	random=False	no_files=False	use_cuda=True	cuda=True	corpus_token_embs=google_news	use_trial=False	optimizer=adam
# python main.py --batch_size 24 --bidirectional --chunk_size 757 --conf_file config_google_scene.ini --dropout_prob_1 0.008172680923374698 --dropout_prob_2 0.0013466197621012088 --entity_library --epochs 50 --file_name auto --folds 5 --hidden_lstm_1 459 --id 58 --layers_lstm 1 --learning_rate 0.000533396665212102 --level scene --log_dir logs/lay1-sha-tokgoo-bat24-optada--8 --model_file auto --nonlinearity_1 tanh --optimizer adam --phase training --similarity_type cos --speaker_emb 134 --stop_criterion 5 --test_every 1 --token_emb google_news --use_cuda --usr_id auto --verbose --weight_decay 1.8044454846752823e-07
epoch	iteration	fold	train_loss	train_acc	train_macro_f1	train_macro_f1_main	train_total	val_loss	val_acc	val_macro_f1	val_macro_f1_main	val_total	model
   16	  270	  0	 5.2352300	   74.3998	   15.6193	   80.4655	  10621	 5.3186245	   66.0023	   14.2774	   73.2835	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   17	  286	  0	 5.2222676	   74.8423	   16.1334	   80.6787	  10621	 5.3137593	   65.5886	   14.3295	   72.4713	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   18	  300	  0	 5.2123823	   75.7556	   16.6213	   81.1250	  10621	 5.3059340	   66.7544	   15.1333	   73.2042	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   19	  315	  0	 5.2007961	   76.8289	   17.0758	   82.7191	  10621	 5.3040390	   67.0553	   15.3473	   73.8932	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   20	  331	  0	 5.1923213	   77.9023	   18.3032	   83.6266	  10621	 5.2998180	   66.9801	   15.9401	   73.9125	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   21	  347	  0	 5.1810389	   78.8909	   19.8331	   84.8836	  10621	 5.2951636	   67.7698	   16.6654	   75.0343	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   22	  362	  0	 5.1702070	   80.0960	   22.2787	   85.8607	  10621	 5.2884655	   67.8451	   16.3011	   74.9613	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   23	  378	  0	 5.1648016	   80.3502	   23.0590	   85.7327	  10621	 5.2841086	   67.9955	   17.1820	   74.7876	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   24	  394	  0	 5.1553817	   81.0941	   24.2558	   86.5866	  10621	 5.2784653	   68.5220	   17.7165	   75.4499	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   25	  410	  0	 5.1486506	   82.2992	   25.8580	   88.5168	  10621	 5.2779112	   68.2964	   17.4014	   76.8503	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   26	  425	  0	 5.1378059	   83.1654	   29.0505	   88.2317	  10621	 5.2690415	   69.2742	   18.2963	   76.3480	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   27	  441	  0	 5.1309228	   84.1070	   31.6372	   89.2289	  10621	 5.2697716	   68.8981	   19.0230	   76.0430	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   28	  457	  0	 5.1241331	   84.6342	   33.1092	   89.7037	  10621	 5.2653298	   69.1613	   19.0492	   76.5740	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   29	  473	  0	 5.1168928	   85.3592	   37.0638	   90.1266	  10621	 5.2612123	   69.6502	   19.5527	   76.9757	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   30	  489	  0	 5.1088219	   86.1877	   40.4912	   91.2194	  10621	 5.2594156	   69.2742	   19.4242	   76.9334	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   31	  504	  0	 5.1037307	   86.5832	   42.4733	   91.0225	  10621	 5.2539930	   69.3870	   19.3984	   76.7090	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   32	  519	  0	 5.0974159	   87.3364	   44.2250	   91.7512	  10621	 5.2534423	   69.5750	   19.6606	   76.8803	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   33	  535	  0	 5.0905266	   87.9390	   48.0263	   91.9119	  10621	 5.2496114	   69.7631	   20.5823	   77.1902	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   34	  551	  0	 5.0841055	   88.3909	   48.1095	   92.3170	  10621	 5.2469454	   69.3870	   18.8637	   76.6801	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   35	  567	  0	 5.0786443	   89.1441	   52.1343	   92.8052	  10621	 5.2439313	   69.9135	   19.9009	   77.2811	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   36	  582	  0	 5.0768785	   88.9370	   51.7524	   92.2931	  10621	 5.2397704	   69.8759	   19.6839	   76.2548	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   37	  598	  0	 5.0674124	   89.9068	   56.5484	   93.3711	  10621	 5.2365260	   69.5750	   20.0782	   76.4671	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   38	  614	  0	 5.0624981	   90.1892	   56.7868	   93.9170	  10621	 5.2371221	   68.9733	   19.6169	   77.0100	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   39	  629	  0	 5.0594702	   89.8597	   56.9601	   93.2425	  10621	 5.2288933	   69.3494	   19.4491	   76.4235	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   40	  644	  0	 5.0490098	   90.9519	   60.7437	   94.0621	  10621	 5.2229772	   70.1015	   19.8505	   77.2604	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   41	  660	  0	 5.0437489	   91.2155	   62.1854	   94.1737	  10621	 5.2200937	   69.9887	   19.8934	   76.8346	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   42	  676	  0	 5.0392132	   91.5827	   63.0058	   94.3668	  10621	 5.2170067	   69.7631	   19.9281	   76.5588	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   43	  692	  0	 5.0340848	   91.9687	   65.9292	   94.6179	  10621	 5.2154899	   70.1768	   20.8387	   77.1748	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   44	  708	  0	 5.0270987	   92.3548	   66.6415	   94.9508	  10621	 5.2103443	   69.7631	   20.7815	   76.7012	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   45	  724	  0	 5.0235629	   92.5619	   67.0072	   94.9980	  10621	 5.2073913	   70.0263	   20.3541	   76.8291	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   46	  739	  0	 5.0173311	   93.1833	   68.9999	   95.4489	  10621	 5.2042155	   69.8007	   19.4558	   77.1449	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   47	  755	  0	 5.0124717	   93.6070	   71.8572	   95.8826	  10621	 5.2007670	   70.2144	   21.1371	   77.2762	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   48	  771	  0	 5.0062857	   93.4752	   71.3756	   95.6733	  10621	 5.1951318	   70.0263	   20.6019	   77.0262	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   49	  787	  0	 5.0027966	   93.9177	   72.6699	   95.9534	  10621	 5.1931009	   70.3648	   20.3154	   77.6187	   2659	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   -1	    0	  1	 5.9909134	    0.0188	    0.0157	    7.0137	  10624	 5.9944253	    0.0000	    0.0000	    7.7237	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    0	   16	  1	 5.5630422	   40.6627	    1.1698	   43.8610	  10624	 5.5900354	   38.0648	    2.8623	   42.0424	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    1	   32	  1	 5.5266852	   41.5004	    1.4839	   44.0926	  10624	 5.5589528	   37.8389	    2.9521	   41.4331	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    2	   48	  1	 5.4998908	   42.5734	    2.3122	   44.9110	  10624	 5.5356030	   38.5166	    3.9301	   42.0895	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    3	   64	  1	 5.4744644	   44.6536	    4.3257	   46.9451	  10624	 5.5158386	   40.5497	    5.1437	   43.7556	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    4	   80	  1	 5.4524622	   46.9315	    6.5901	   49.7353	  10624	 5.4966969	   42.5452	    6.5207	   46.2036	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    5	   96	  1	 5.4318967	   50.4424	    9.8282	   53.4692	  10624	 5.4792199	   45.2560	    8.0544	   49.3429	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    6	  112	  1	 5.4122171	   52.6732	   11.0958	   56.3722	  10624	 5.4633498	   46.1973	    8.7926	   50.8829	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    7	  127	  1	 5.3899198	   55.3370	   12.9746	   59.7675	  10624	 5.4437294	   48.5693	   10.1195	   53.9028	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    8	  143	  1	 5.3750768	   58.1231	   14.6318	   63.1071	  10624	 5.4304419	   52.5226	   11.1878	   58.7823	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
    9	  159	  1	 5.3681393	   59.7421	   14.4471	   64.4411	  10624	 5.4241748	   54.5934	   11.5041	   60.2237	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   10	  175	  1	 5.3427486	   61.7376	   13.9397	   66.5225	  10624	 5.4082541	   54.2169	   10.4778	   60.1465	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   11	  191	  1	 5.3195333	   63.4036	   13.8265	   68.0870	  10624	 5.3867016	   56.7771	   10.6746	   62.3378	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   12	  207	  1	 5.3016481	   65.3520	   14.3152	   70.1014	  10624	 5.3758435	   58.3584	   11.5935	   63.7254	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   13	  223	  1	 5.2872357	   67.0651	   14.5363	   71.7471	  10624	 5.3652472	   58.9608	   11.7583	   64.5372	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   14	  238	  1	 5.2716217	   68.9194	   14.9874	   73.7501	  10624	 5.3575621	   59.9021	   11.6317	   65.1767	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   15	  254	  1	 5.2598085	   69.8136	   15.3174	   74.9687	  10624	 5.3513198	   60.5422	   12.3793	   65.9539	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   16	  270	  1	 5.2465706	   71.1785	   15.6378	   76.1309	  10624	 5.3429537	   60.9187	   12.0625	   65.9633	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   17	  286	  1	 5.2313890	   73.6163	   16.2303	   78.8537	  10624	 5.3315749	   61.8599	   12.5659	   67.5371	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
   18	  302	  1	 5.2221060	   74.4164	   16.7405	   79.3894	  10624	 5.3271070	   63.2154	   12.8707	   68.5980	   2656	bidTrue--chu757--dro0.008--dro0.001--entTrue--hid459--lea0.000--nontanh--nonFalse--simcos--spe134--wei1.804--58
